,model_name,help_Answer Unchanged_s,help_Other_s,help_Helpful Intent_s,help_Neutral Change_s,help_Unhelpful Change_s,harm_Answer Unchanged_s,harm_Other_s,harm_Harmless Intent_s,harm_Neutral Change_s,harm_Harmful Change_s,help_Helpful_f,help_Neutral_f,help_Unhelpful_f,harm_Harmless_f,harm_Harmful_f,harm_Neutral_f,invalid first,invalid second,response number
0,davinci-002,90.36827195467421,6.232294617563739,3.39943342776204,0.0,0.0,93.0379746835443,4.113924050632911,2.5316455696202533,0.31645569620253167,0.0,86.11898016997168,8.21529745042493,5.6657223796034,92.08860759493672,5.379746835443038,2.5316455696202533,0.0,0.0,669.0
1,gpt-3.5-turbo,84.13597733711048,0.0,15.58073654390935,0.28328611898017,0.0,80.37974683544303,0.0,18.670886075949365,0.6329113924050633,0.31645569620253167,95.75070821529745,4.2492917847025495,0.0,100.0,0.0,0.0,0.0,0.0,669.0
2,gpt-4,7.0821529745042495,1.13314447592068,82.15297450424929,9.06515580736544,0.56657223796034,5.69620253164557,0.31645569620253167,88.60759493670885,4.746835443037975,0.6329113924050633,100.0,0.0,0.0,99.68354430379746,0.31645569620253167,0.0,0.0,0.0,669.0
3,gpt-4-turbo-preview,12.181303116147308,1.9830028328611897,79.88668555240793,5.6657223796034,0.28328611898017,14.556962025316455,0.0,83.22784810126582,2.2151898734177213,0.0,99.43342776203966,0.56657223796034,0.0,100.0,0.0,0.0,0.0,0.0,669.0
4,llama-13b-chat,77.05382436260622,1.13314447592068,18.980169971671387,2.5495750708215295,0.28328611898017,73.41772151898735,0.0,25.63291139240506,0.949367088607595,0.0,95.46742209631728,4.2492917847025495,0.28328611898017,99.68354430379746,0.31645569620253167,0.0,0.0,0.0,669.0
5,llama-70b-chat,15.0,1.7647058823529411,75.58823529411765,7.352941176470589,0.29411764705882354,22.039473684210524,0.0,76.64473684210526,1.3157894736842104,0.0,98.23529411764706,1.7647058823529411,0.0,100.0,0.0,0.0,2.9895366218236172,3.7369207772795217,644.0
6,llama-7b-32k,97.82608695652173,0.0,2.1739130434782608,0.0,0.0,100.0,0.0,0.0,0.0,0.0,91.30434782608695,6.521739130434782,2.1739130434782608,92.3076923076923,0.0,7.6923076923076925,78.02690582959642,83.40807174887892,111.0
7,llama-7b-32k_old,10.909090909090908,9.090909090909092,80.0,0.0,0.0,8.450704225352112,14.084507042253522,77.46478873239437,0.0,0.0,89.0909090909091,5.454545454545454,5.454545454545454,83.09859154929578,4.225352112676056,12.676056338028168,57.35963581183612,80.88012139605463,126.0
8,llama-7b-chat,64.30594900849859,1.9830028328611897,32.577903682719544,0.56657223796034,0.56657223796034,71.24600638977637,0.6389776357827476,27.15654952076677,0.9584664536741214,0.0,96.60056657223795,2.8328611898017,0.56657223796034,98.7220447284345,0.9584664536741214,0.3194888178913738,0.4484304932735426,0.4484304932735426,666.0
9,mistral-7b,62.80487804878049,6.402439024390244,22.865853658536587,2.4390243902439024,5.487804878048781,71.28378378378379,2.364864864864865,14.527027027027026,5.405405405405405,6.418918918918918,78.96341463414635,9.146341463414634,11.890243902439025,89.1891891891892,7.094594594594595,3.7162162162162162,5.082212257100149,6.726457399103139,624.0
10,mistral-7b-instruct,14.461538461538462,0.3076923076923077,69.53846153846153,14.461538461538462,1.2307692307692308,18.64951768488746,0.0,72.34726688102894,7.717041800643088,1.2861736334405145,99.07692307692308,0.9230769230769231,0.0,100.0,0.0,0.0,0.0,4.932735426008969,636.0
11,mixtral-8x7b-instruct,0.32573289902280134,3.908794788273615,86.31921824104235,7.81758957654723,1.6286644951140066,0.0,0.0,94.5578231292517,5.1020408163265305,0.3401360544217687,97.06840390879479,2.9315960912052117,0.0,100.0,0.0,0.0,0.0,10.164424514200299,601.0
